SYNTHETIC DEMO DATA - NOT A REAL BANK STATEMENT

Transaction Date,Narration,Debit,Credit,Balance
2026-02-12,INDIAN OIL PETROL PUMP,1163.60,,-15911.27
2026-02-13,AMAZON IN MKTP,1073.10,,-16984.37
2026-02-14,NETFLIX.COM SUBSCRIPTION,649.00,,-17633.37
2026-02-15,AMAZON IN MKTP,314.90,,-17948.27
2026-02-15,ATM CASH WITHDRAWAL,5000.00,,-22948.27
2026-02-16,UBER TRIP,1012.85,,-23961.12
2026-02-17,CLOUDVAULT STORAGE PLUS,199.00,,-24160.12
2026-02-18,AMAZON IN MKTP,1259.90,,-25420.02
2026-02-19,APNA KIRANA SUPERMARKET,3120.60,,-28540.62
2026-02-19,AMAZON IN MKTP,243.25,,-28783.87
2026-02-20,QX7 TRADING 99231,540.75,,-29324.62
2026-02-21,DROPBOX PLUS MONTHLY BILLING,399.00,,-29723.62
2026-02-22,BIG BAZAAR RETAIL,338.25,,-30061.87
2026-02-23,ADOBE CREATIVE CLOUD,1675.00,,-31736.87
2026-02-24,UBER TRIP,1216.25,,-32953.12
2026-02-25,TRANSFER TO OWN SAVINGS ACCOUNT,3000.00,,-35953.12
2026-02-25,TRANSFER FROM CURRENT ACCOUNT,,3000.00,-32953.12
2026-02-26,APNA KIRANA SUPERMARKET,1793.18,,-34746.30
2026-02-26,AMAZON IN MKTP,490.45,,-35236.75
2026-02-27,BIG BAZAAR RETAIL,1423.90,,-36660.65
2026-02-28,ACME ANALYTICS PAYROLL NEFT CREDIT,,65000.00,28339.35
2026-03-02,OLA CABS TRIP,990.60,,27348.75
2026-03-03,GREENFIELD RESIDENCY RENT NEFT,18000.00,,9348.75
2026-03-04,APNA KIRANA SUPERMARKET,2435.39,,6913.36
2026-03-04,AMAZON IN MKTP,1247.60,,5665.76
2026-03-05,OLA CABS TRIP,633.30,,5032.46
2026-03-06,SECURELIFE INSURANCE PREMIUM ECS,2450.00,,2582.46
2026-03-07,ZOMATO ORDER,1092.90,,1489.56
2026-03-08,FIRSTBANK AUTO LOAN EMI 55212,8500.00,,-7010.44
2026-03-09,PEAK FITNESS GYM MEMBERSHIP,1500.00,,-8510.44
2026-03-10,AMAZON IN MKTP,160.25,,-8670.69
2026-03-11,STATE POWER + WATER UTILITY BILL,2988.00,,-11658.69
2026-03-12,APNA KIRANA SUPERMARKET,2949.77,,-14608.46
2026-03-12,UBER TRIP,1140.99,,-15749.45
2026-03-13,OLA CABS TRIP,596.99,,-16346.44
2026-03-14,NETFLIX.COM SUBSCRIPTION,649.00,,-16995.44
2026-03-15,CHAI POINT,800.45,,-17795.89
2026-03-16,BIG BAZAAR RETAIL,704.85,,-18500.74
2026-03-16,REFUND AMAZON IN ORDER 114-22,,1240.60,-17260.14
2026-03-17,CLOUDVAULT STORAGE PLUS,199.00,,-17459.14
2026-03-18,CAFE COFFEE DAY,213.25,,-17672.39
2026-03-19,APNA KIRANA SUPERMARKET,3063.02,,-20735.41
2026-03-19,BIG BAZAAR RETAIL,741.30,,-21476.71
2026-03-20,QX7 TRADING 99231,540.75,,-22017.46
2026-03-21,DROPBOX PLUS MONTHLY BILLING,399.00,,-22416.46
2026-03-22,ZOMATO ORDER,967.60,,-23384.06
2026-03-23,ADOBE CREATIVE CLOUD,1675.00,,-25059.06
2026-03-24,AMAZON IN MKTP,828.99,,-25888.05
2026-03-25,TRANSFER TO OWN SAVINGS ACCOUNT,3000.00,,-28888.05
2026-03-25,TRANSFER FROM CURRENT ACCOUNT,,3000.00,-25888.05
2026-03-26,APNA KIRANA SUPERMARKET,1616.28,,-27504.33
2026-03-26,SWIGGY ORDER,640.10,,-28144.43
2026-03-27,ZOMATO ORDER,1212.75,,-29357.18
2026-03-28,ACME ANALYTICS PAYROLL NEFT CREDIT,,65000.00,35642.82
2026-04-02,CAFE COFFEE DAY,1008.99,,34633.83
2026-04-03,GREENFIELD RESIDENCY RENT NEFT,18000.00,,16633.83
2026-04-04,APNA KIRANA SUPERMARKET,3039.99,,13593.84
2026-04-04,ZOMATO ORDER,1042.99,,12550.85
2026-04-05,UBER TRIP,544.60,,12006.25
2026-04-06,SECURELIFE INSURANCE PREMIUM ECS,2450.00,,9556.25
2026-04-07,CHAI POINT,435.45,,9120.80
2026-04-08,FIRSTBANK AUTO LOAN EMI 55212,8500.00,,620.80
2026-04-09,PEAK FITNESS GYM MEMBERSHIP,1500.00,,-879.20
2026-04-10,INDIAN OIL PETROL PUMP,985.85,,-1865.05
2026-04-11,STATE POWER + WATER UTILITY BILL,2087.00,,-3952.05
2026-04-12,APNA KIRANA SUPERMARKET,1706.07,,-5658.12
2026-04-12,BIG BAZAAR RETAIL,1307.85,,-6965.97
2026-04-13,CHAI POINT,700.99,,-7666.96
2026-04-14,NETFLIX.COM SUBSCRIPTION,649.00,,-8315.96
2026-04-15,CHAI POINT,1381.25,,-9697.21
2026-04-16,UBER TRIP,316.85,,-10014.06
2026-04-17,CLOUDVAULT STORAGE PLUS,299.00,,-10313.06
2026-04-18,AMAZON IN MKTP,1204.10,,-11517.16
2026-04-19,APNA KIRANA SUPERMARKET,2286.22,,-13803.38
2026-04-19,INDIAN OIL PETROL PUMP,909.10,,-14712.48
2026-04-20,QX7 TRADING 99231,540.75,,-15253.23
2026-04-21,DROPBOX PLUS MONTHLY BILLING,399.00,,-15652.23
2026-04-22,ZOMATO ORDER,1211.85,,-16864.08
2026-04-23,ADOBE CREATIVE CLOUD,1675.00,,-18539.08
2026-04-24,CAFE COFFEE DAY,1316.45,,-19855.53
2026-04-25,TRANSFER TO OWN SAVINGS ACCOUNT,3000.00,,-22855.53
2026-04-25,TRANSFER FROM CURRENT ACCOUNT,,3000.00,-19855.53
2026-04-26,APNA KIRANA SUPERMARKET,1544.31,,-21399.84
2026-04-26,CAFE COFFEE DAY,1129.25,,-22529.09
2026-04-27,CAFE COFFEE DAY,914.60,,-23443.69
2026-04-28,ACME ANALYTICS PAYROLL NEFT CREDIT,,65000.00,41556.31
2026-05-02,INDIAN OIL PETROL PUMP,1245.10,,40311.21
2026-05-03,GREENFIELD RESIDENCY RENT NEFT,18000.00,,22311.21
2026-05-04,APNA KIRANA SUPERMARKET,1522.97,,20788.24
2026-05-04,OLA CABS TRIP,1231.99,,19556.25
2026-05-05,INDIAN OIL PETROL PUMP,657.30,,18898.95
2026-05-06,SECURELIFE INSURANCE PREMIUM ECS,2450.00,,16448.95
2026-05-07,AMAZON IN MKTP,170.75,,16278.20
2026-05-08,FIRSTBANK AUTO LOAN EMI 55212,8500.00,,7778.20
2026-05-09,PEAK FITNESS GYM MEMBERSHIP,1500.00,,6278.20
2026-05-10,ZOMATO ORDER,1260.85,,5017.35
2026-05-11,STATE POWER + WATER UTILITY BILL,2859.00,,2158.35
2026-05-12,APNA KIRANA SUPERMARKET,1681.59,,476.76
2026-05-12,INDIAN OIL PETROL PUMP,627.75,,-150.99
2026-05-13,OLA CABS TRIP,640.75,,-791.74
2026-05-14,NETFLIX.COM SUBSCRIPTION,649.00,,-1440.74
2026-05-15,OLA CABS TRIP,225.10,,-1665.84
2026-05-16,INDIAN OIL PETROL PUMP,436.90,,-2102.74
2026-05-17,CLOUDVAULT STORAGE PLUS,299.00,,-2401.74
2026-05-18,OLA CABS TRIP,335.10,,-2736.84
2026-05-19,APNA KIRANA SUPERMARKET,1885.08,,-4621.92
2026-05-19,BIG BAZAAR RETAIL,749.25,,-5371.17
2026-05-20,QX7 TRADING 99231,540.75,,-5911.92
2026-05-21,DROPBOX PLUS MONTHLY BILLING,399.00,,-6310.92
2026-05-22,BIG BAZAAR RETAIL,800.30,,-7111.22
2026-05-23,ADOBE CREATIVE CLOUD,1675.00,,-8786.22
2026-05-24,SWIGGY ORDER,1154.30,,-9940.52
2026-05-25,TRANSFER TO OWN SAVINGS ACCOUNT,3000.00,,-12940.52
2026-05-25,TRANSFER FROM CURRENT ACCOUNT,,3000.00,-9940.52
2026-05-26,APNA KIRANA SUPERMARKET,3070.56,,-13011.08
2026-05-26,CAFE COFFEE DAY,340.75,,-13351.83
2026-05-27,ZOMATO ORDER,1339.99,,-14691.82
2026-05-28,ACME ANALYTICS PAYROLL NEFT CREDIT,,65000.00,50308.18
2026-05-28,MONTHLY ACCOUNT SERVICE CHARGE,118.00,,50190.18
2026-06-02,CHAI POINT,1043.25,,49146.93
2026-06-03,GREENFIELD RESIDENCY RENT NEFT,18000.00,,31146.93
2026-06-04,APNA KIRANA SUPERMARKET,1997.38,,29149.55
2026-06-04,INDIAN OIL PETROL PUMP,257.75,,28891.80
2026-06-05,UBER TRIP,1175.85,,27715.95
2026-06-06,SECURELIFE INSURANCE PREMIUM ECS,2450.00,,25265.95
2026-06-07,SWIGGY ORDER,242.75,,25023.20
2026-06-08,FIRSTBANK AUTO LOAN EMI 55212,8500.00,,16523.20
2026-06-09,PEAK FITNESS GYM MEMBERSHIP,1500.00,,15023.20
2026-06-10,BIG BAZAAR RETAIL,504.25,,14518.95
2026-06-11,STATE POWER + WATER UTILITY BILL,2612.00,,11906.95
2026-06-12,APNA KIRANA SUPERMARKET,1679.86,,10227.09
2026-06-12,CHAI POINT,130.45,,10096.64
2026-06-13,CHAI POINT,946.99,,9149.65
2026-06-14,NETFLIX.COM SUBSCRIPTION,649.00,,8500.65
2026-06-15,OLA CABS TRIP,599.85,,7900.80
2026-06-16,AMAZON IN MKTP,1300.85,,6599.95
2026-06-17,CLOUDVAULT STORAGE PLUS,299.00,,6300.95
2026-06-18,CAFE COFFEE DAY,515.99,,5784.96
2026-06-19,APNA KIRANA SUPERMARKET,2441.35,,3343.61
2026-06-19,INDIAN OIL PETROL PUMP,1139.90,,2203.71
2026-06-20,QX7 TRADING 99231,540.75,,1662.96
2026-06-21,DROPBOX PLUS MONTHLY BILLING,399.00,,1263.96
2026-06-22,UBER TRIP,802.10,,461.86
2026-06-23,ADOBE CREATIVE CLOUD,1675.00,,-1213.14
2026-06-24,SWIGGY ORDER,243.75,,-1456.89
2026-06-25,TRANSFER TO OWN SAVINGS ACCOUNT,3000.00,,-4456.89
2026-06-25,TRANSFER FROM CURRENT ACCOUNT,,3000.00,-1456.89
2026-06-26,APNA KIRANA SUPERMARKET,2450.56,,-3907.45
2026-06-26,UBER TRIP,1269.10,,-5176.55
2026-06-27,AMAZON IN MKTP,1423.45,,-6600.00
2026-06-28,ACME ANALYTICS PAYROLL NEFT CREDIT,,65000.00,58400.00
