SYNTHETIC DEMO DATA - NOT A REAL BANK STATEMENT

Transaction Date,Narration,Debit,Credit,Balance
2026-02-22,NORTHGATE RETAIL PARK,48.10,,-295.00
2026-02-23,ADOBE CREATIVE CLOUD,22.99,,-317.99
2026-02-24,STARBUCKS COFFEE,64.99,,-382.98
2026-02-25,TRANSFER TO OWN SAVINGS ACCOUNT,200.00,,-582.98
2026-02-25,TRANSFER FROM CURRENT ACCOUNT,,200.00,-382.98
2026-02-26,CORNER SUPERMARKET,52.18,,-435.16
2026-02-26,STARBUCKS COFFEE,78.25,,-513.41
2026-02-27,SHELL FUEL,52.25,,-565.66
2026-02-28,ACME ANALYTICS PAYROLL DIRECT DEPOSIT,,3200.00,2634.34
2026-03-02,UBER EATS DELIVERY,23.45,,2610.89
2026-03-03,GREENFIELD PROPERTIES RENT,1450.00,,1160.89
2026-03-04,CORNER SUPERMARKET,53.27,,1107.62
2026-03-04,UBER TRIP,45.60,,1062.02
2026-03-05,NORTHGATE RETAIL PARK,53.60,,1008.42
2026-03-06,SECURELIFE INSURANCE PREMIUM,128.00,,880.42
2026-03-07,UBER TRIP,34.30,,846.12
2026-03-08,FIRSTBANK AUTO LOAN EMI 55212,312.40,,533.72
2026-03-09,PEAK FITNESS GYM MEMBERSHIP,49.00,,484.72
2026-03-10,STARBUCKS COFFEE,48.90,,435.82
2026-03-11,CITY POWER + WATER UTILITY BILL,102.00,,333.82
2026-03-12,CORNER SUPERMARKET,74.81,,259.01
2026-03-12,NORTHGATE RETAIL PARK,19.25,,239.76
2026-03-13,SHELL FUEL,49.99,,189.77
2026-03-14,NETFLIX.COM SUBSCRIPTION,15.99,,173.78
2026-03-15,UBER TRIP,32.99,,140.79
2026-03-16,THE DAILY GRIND CAFE,63.75,,77.04
2026-03-16,REFUND AMZN MKTP US ORDER 114-22,,34.60,111.64
2026-03-17,CLOUDVAULT STORAGE PLUS,9.99,,101.65
2026-03-18,PIZZA PLACE #221,66.99,,34.66
2026-03-19,CORNER SUPERMARKET,70.77,,-36.11
2026-03-19,UBER TRIP,55.85,,-91.96
2026-03-20,QX7 TRADING 99231,18.75,,-110.71
2026-03-21,DROPBOX PLUS ANNUALBILL MONTHLY,11.99,,-122.70
2026-03-22,PIZZA PLACE #221,62.10,,-184.80
2026-03-23,ADOBE CREATIVE CLOUD,22.99,,-207.79
2026-03-24,STARBUCKS COFFEE,58.99,,-266.78
2026-03-25,TRANSFER TO OWN SAVINGS ACCOUNT,200.00,,-466.78
2026-03-25,TRANSFER FROM CURRENT ACCOUNT,,200.00,-266.78
2026-03-26,CORNER SUPERMARKET,72.39,,-339.17
2026-03-26,UBER TRIP,58.30,,-397.47
2026-03-27,STARBUCKS COFFEE,44.60,,-442.07
2026-03-28,ACME ANALYTICS PAYROLL DIRECT DEPOSIT,,3200.00,2757.93
2026-04-02,SHELL FUEL,59.30,,2698.63
2026-04-03,GREENFIELD PROPERTIES RENT,1450.00,,1248.63
2026-04-04,CORNER SUPERMARKET,64.65,,1183.98
2026-04-04,THE DAILY GRIND CAFE,74.10,,1109.88
2026-04-05,AMZN MKTP US*2K4LP,29.10,,1080.78
2026-04-06,SECURELIFE INSURANCE PREMIUM,128.00,,952.78
2026-04-07,PIZZA PLACE #221,33.85,,918.93
2026-04-08,FIRSTBANK AUTO LOAN EMI 55212,312.40,,606.53
2026-04-09,PEAK FITNESS GYM MEMBERSHIP,49.00,,557.53
2026-04-10,STARBUCKS COFFEE,66.90,,490.63
2026-04-11,CITY POWER + WATER UTILITY BILL,104.00,,386.63
2026-04-12,CORNER SUPERMARKET,45.32,,341.31
2026-04-12,SHELL FUEL,31.60,,309.71
2026-04-13,THE DAILY GRIND CAFE,27.45,,282.26
2026-04-14,NETFLIX.COM SUBSCRIPTION,15.99,,266.27
2026-04-15,AMZN MKTP US*2K4LP,45.85,,220.42
2026-04-16,AMZN MKTP US*2K4LP,78.30,,142.12
2026-04-17,CLOUDVAULT STORAGE PLUS,13.99,,128.13
2026-04-18,UBER TRIP,65.99,,62.14
2026-04-19,CORNER SUPERMARKET,43.10,,19.04
2026-04-19,THE DAILY GRIND CAFE,63.25,,-44.21
2026-04-20,QX7 TRADING 99231,18.75,,-62.96
2026-04-21,DROPBOX PLUS ANNUALBILL MONTHLY,11.99,,-74.95
2026-04-22,SHELL FUEL,24.85,,-99.80
2026-04-23,ADOBE CREATIVE CLOUD,22.99,,-122.79
2026-04-24,NORTHGATE RETAIL PARK,69.99,,-192.78
2026-04-25,TRANSFER TO OWN SAVINGS ACCOUNT,200.00,,-392.78
2026-04-25,TRANSFER FROM CURRENT ACCOUNT,,200.00,-192.78
2026-04-26,CORNER SUPERMARKET,76.96,,-269.74
2026-04-26,UBER EATS DELIVERY,77.85,,-347.59
2026-04-27,AMZN MKTP US*2K4LP,78.10,,-425.69
2026-04-28,ACME ANALYTICS PAYROLL DIRECT DEPOSIT,,3200.00,2774.31
2026-05-02,NORTHGATE RETAIL PARK,65.25,,2709.06
2026-05-03,GREENFIELD PROPERTIES RENT,1450.00,,1259.06
2026-05-04,CORNER SUPERMARKET,95.68,,1163.38
2026-05-04,PIZZA PLACE #221,65.85,,1097.53
2026-05-05,UBER TRIP,52.10,,1045.43
2026-05-06,SECURELIFE INSURANCE PREMIUM,128.00,,917.43
2026-05-07,STARBUCKS COFFEE,47.45,,869.98
2026-05-08,FIRSTBANK AUTO LOAN EMI 55212,312.40,,557.58
2026-05-09,PEAK FITNESS GYM MEMBERSHIP,49.00,,508.58
2026-05-10,STARBUCKS COFFEE,68.90,,439.68
2026-05-11,CITY POWER + WATER UTILITY BILL,80.00,,359.68
2026-05-12,CORNER SUPERMARKET,67.26,,292.42
2026-05-12,AMZN MKTP US*2K4LP,53.10,,239.32
2026-05-13,UBER TRIP,64.99,,174.33
2026-05-14,NETFLIX.COM SUBSCRIPTION,15.99,,158.34
2026-05-15,AMZN MKTP US*2K4LP,34.30,,124.04
2026-05-16,NORTHGATE RETAIL PARK,66.10,,57.94
2026-05-17,CLOUDVAULT STORAGE PLUS,13.99,,43.95
2026-05-18,SHELL FUEL,24.99,,18.96
2026-05-19,CORNER SUPERMARKET,79.31,,-60.35
2026-05-19,AMZN MKTP US*2K4LP,57.85,,-118.20
2026-05-20,QX7 TRADING 99231,18.75,,-136.95
2026-05-21,DROPBOX PLUS ANNUALBILL MONTHLY,11.99,,-148.94
2026-05-22,PIZZA PLACE #221,39.60,,-188.54
2026-05-23,ADOBE CREATIVE CLOUD,22.99,,-211.53
2026-05-24,UBER TRIP,41.60,,-253.13
2026-05-25,TRANSFER TO OWN SAVINGS ACCOUNT,200.00,,-453.13
2026-05-25,TRANSFER FROM CURRENT ACCOUNT,,200.00,-253.13
2026-05-26,CORNER SUPERMARKET,90.24,,-343.37
2026-05-26,UBER EATS DELIVERY,19.85,,-363.22
2026-05-27,THE DAILY GRIND CAFE,72.90,,-436.12
2026-05-28,ACME ANALYTICS PAYROLL DIRECT DEPOSIT,,3200.00,2763.88
2026-05-28,MONTHLY ACCOUNT SERVICE CHARGE,4.50,,2759.38
2026-06-02,UBER TRIP,22.99,,2736.39
2026-06-03,GREENFIELD PROPERTIES RENT,1450.00,,1286.39
2026-06-04,CORNER SUPERMARKET,59.87,,1226.52
2026-06-04,SHELL FUEL,28.10,,1198.42
2026-06-05,THE DAILY GRIND CAFE,33.25,,1165.17
2026-06-06,SECURELIFE INSURANCE PREMIUM,128.00,,1037.17
2026-06-07,SHELL FUEL,73.25,,963.92
2026-06-08,FIRSTBANK AUTO LOAN EMI 55212,312.40,,651.52
2026-06-09,PEAK FITNESS GYM MEMBERSHIP,49.00,,602.52
2026-06-10,AMZN MKTP US*2K4LP,35.60,,566.92
2026-06-11,CITY POWER + WATER UTILITY BILL,114.00,,452.92
2026-06-12,CORNER SUPERMARKET,94.13,,358.79
2026-06-12,STARBUCKS COFFEE,71.90,,286.89
2026-06-13,UBER TRIP,49.90,,236.99
2026-06-14,NETFLIX.COM SUBSCRIPTION,15.99,,221.00
2026-06-15,THE DAILY GRIND CAFE,61.90,,159.10
2026-06-16,STARBUCKS COFFEE,45.25,,113.85
2026-06-17,CLOUDVAULT STORAGE PLUS,13.99,,99.86
2026-06-18,SHELL FUEL,41.99,,57.87
2026-06-19,CORNER SUPERMARKET,82.75,,-24.88
2026-06-19,AMZN MKTP US*2K4LP,19.10,,-43.98
2026-06-20,QX7 TRADING 99231,18.75,,-62.73
2026-06-21,DROPBOX PLUS ANNUALBILL MONTHLY,11.99,,-74.72
2026-06-22,SHELL FUEL,62.99,,-137.71
2026-06-23,ADOBE CREATIVE CLOUD,22.99,,-160.70
2026-06-24,PIZZA PLACE #221,23.30,,-184.00
2026-06-25,TRANSFER TO OWN SAVINGS ACCOUNT,200.00,,-384.00
2026-06-25,TRANSFER FROM CURRENT ACCOUNT,,200.00,-184.00
2026-06-26,CORNER SUPERMARKET,42.71,,-226.71
2026-06-26,UBER EATS DELIVERY,33.30,,-260.01
2026-06-27,AMZN MKTP US*2K4LP,59.99,,-320.00
2026-06-28,ACME ANALYTICS PAYROLL DIRECT DEPOSIT,,3200.00,2880.00
